bootcamp_id,bootcamp,bootcamp_name,listing,is_open,offline,location,start_date,pricing,thumbnail
1,Designing Digital Product per Stage and Metric,Làn Sương,0,0,1,Hà Nội,-,12.345.678 VND/ người,bootcamp-1.webp
2,Designing Digital Product per Stage and Metric,Cơn Mưa,0,0,1,Hà Nội,-,12.345.678 VND/ người,bootcamp-2.webp
3,Designing Digital Product per Stage and Metric,Mùa Xuân,0,0,1,Hà Nội,-,12.345.678 VND/ người,bootcamp-3.webp
4,Designing Digital Product per Stage and Metric,Ban Mai,0,0,1,Hà Nội,-,12.345.678 VND/ người,bootcamp-4.webp
5,Designing Digital Product per Stage and Metric,Nông Trường,0,0,1,Hà Nội,-,12.345.678 VND/ người,bootcamp-5.webp
6,Designing Digital Product per Stage and Metric,Xôn Xao,0,0,1,Hà Nội,-,12.345.678 VND/ người,bootcamp-6.webp
7,Designing Digital Product per Stage and Metric,Trong Gió,0,0,1,Hà Nội,-,12.345.678 VND/ người,bootcamp-7.webp
8,Designing Digital Product per Stage and Metric,Làng Xa,1,0,1,Hà Nội,-,12.345.678 VND/ người,bootcamp-8.webp
9,Designing Digital Product per Stage and Metric,Hân Hoan,1,1,1,Hà Nội,"Tuần 2 tháng 9, 2025",12.345.678 VND/ người,bootcamp-9.webp
10,Designing Digital Product per Stage and Metric,Nắng Mới,1,1,1,Hà Nội,"Tuần 2 tháng 9, 2025",12.345.678 VND/ người,bootcamp-10.webp
11,Designing Digital Product per Stage and Metric,Chan Hòa,1,1,1,Hà Nội,"Tuần 2 tháng 9, 2025",12.345.678 VND/ người,bootcamp-11.webp
12,Designing Digital Product per Stage and Metric,Niềm Vui,1,1,1,Hà Nội,"Tuần 2 tháng 9, 2025",12.345.678 VND/ người,bootcamp-12.webp