Cấp 1 (Main Menu / Chức năng chính)            	 Cấp 2 (Danh mục lớn / Category)	 Cấp 3 (Danh mục con / Sub-category)                                                                                                                                                                                                                     	 Trang chức năng / Liên kết đi kèm (Footer & Utility)                           	 Chức năng điều hướng
1. TRANG CHỦ(Homepage)                         	 1. Thanh điều hướng chính      	 • Thuốc • Thực phẩm chức năng • Dược mỹ phẩm • Chăm sóc cá nhân • Trang thiết bị y tế • Tư vấn bác sĩ/ chuyên gia y tế • Góc sức khỏe • Hệ thống nhà thuốc                                                                                              	 Dẫn thẳng vào các trang danh mục sản phẩm cốt lõi phục vụ mua sắm (E-commerce).	 
                                               	 2. Cụm lối tắt tính năng nhanh 	 • Cần mua thuốc • Tư vấn với Dược Sĩ • Đơn của tôi • Tìm nhà thuốc • Tra thuốc chính hãng                                                                                                                                                               	                                                                                	 Giải quyết nhanh nhu cầu cấp thiết của khách hàng: Tải đơn thuốc lên, chat nhận tư vấn, tra cứu tiến độ đơn hàng, tìm vị trí cửa hàng, hoặc chuyển hướng sang dịch vụ Tiêm chủng.
                                               	 3. Khu vực nội dung động       	 • Banner chiến dịch khuyến mãi (Slide) • Khuyến mãi hot / Deal chớp nhoáng • Bệnh theo mùa • Danh mục nổi bật • Thương hiệu yêu thích • Kiểm tra sức khỏe • Bệnh theo đối tượng • Khối bài viết "Góc sức khỏe" (Tin tức y khoa, bệnh học)               	                                                                                	 Giữ chân người dùng, tối ưu tỷ lệ chuyển đổi (CR) bằng chương trình ưu đãi và cung cấp nội dung hữu ích (SEO On-page).
                                               	 4. Chân trang                  	 • Về chúng tôi: Giới thiệu, Hệ thống cửa hàng, Tuyển dụng. • Chính sách: Đổi trả (30 ngày), Giao hàng nhanh, Bảo mật. • Tra cứu nhanh: Tra cứu thuốc, Tra cứu bệnh, Tra cứu dược chất. • Liên kết: Link tải App (App Store/Google Play), Hotline hỗ trợ.	                                                                                	 Định tuyến đến các trang thông tin pháp lý, cam kết dịch vụ và hỗ trợ kỹ thuật/khiếu nại cho khách hàng.
2. THUỐC (Bán theo đơn ETC & không kê đơn OTC) 	                                	                                                                                                                                                                                                                                                         	                                                                                	 
3. THỰC PHẨM CHỨC NĂNG (TPCN & Bảo vệ sức khỏe)	                                	                                                                                                                                                                                                                                                         	                                                                                	 
4. DƯỢC MỸ PHẨM (Chăm sóc da chuyên sâu)       	                                	                                                                                                                                                                                                                                                         	                                                                                	 
5. CHĂM SÓC CÁ NHÂN & THIẾT BỊ Y TẾ            	                                	                                                                                                                                                                                                                                                         	                                                                                	 
6. TƯ VẤN BÁC SĨ, CHUYÊN GIA                   	                                	                                                                                                                                                                                                                                                         	                                                                                	 
7. GÓC SỨC KHỎE                                	                                	                                                                                                                                                                                                                                                         	                                                                                	 
8. HỆ THỐNG NHÀ THUỐC                          	                                	                                                                                                                                                                                                                                                         	                                                                                	 
9. Cá nhân                                     	 Thông tin tài khoản            	                                                                                                                                                                                                                                                         	                                                                                	 
                                               	                                	 Thông tin chung                                                                                                                                                                                                                                         	                                                                                	 
                                               	                                	 Đổi mật khẩu                                                                                                                                                                                                                                            	                                                                                	 
                                               	                                	 Thông tin xuất hóa đơn                                                                                                                                                                                                                                  	                                                                                	 
                                               	                                	 Tài khoản ngân hàng                                                                                                                                                                                                                                     	                                                                                	 
                                               	                                	 Danh sách địa chỉ giao hàng                                                                                                                                                                                                                             	                                                                                	 
                                               	 Quản lý đơn hàng               	                                                                                                                                                                                                                                                         	                                                                                	 
                                               	                                	 Danh sách đơn hàng                                                                                                                                                                                                                                      	                                                                                	 
                                               	                                	 Chi tiết đơn hàng                                                                                                                                                                                                                                       	                                                                                	 
                                               	 Điểm tích lũy                  	                                                                                                                                                                                                                                                         	                                                                                	 
                                               	 Thống kê                       	                                                                                                                                                                                                                                                         	                                                                                	 
                                               	 Sản phẩm yêu thích             	                                                                                                                                                                                                                                                         	                                                                                	 